"Title","Year Recorded","Year Released","Album name","Record Label","Album type","Track number","Song duration","Songwriter(s)","Lead vocal(s)","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms","Date","Peak  Pos","WoC","WksNo 1","US Cash","US Rec World","AUS[7][61]","UK[5]","US[6]","GER[10]","NLD[12]","FRA","SWI[59]","CAN","POL","Certification"
"19TH NERVOUS BREAKDOWN",1965,"1966","Got Live If You Want It!","ABKCO Records / Universal","Live","8","03:31","Jagger/Richards","Jagger",0.009355,0.311,0.912,1.3e-06,0.909,-7.0005,0.06125,105.332,0.5135,8.5,210833,"/ ","/ ","/ ","/ ","1","2","__","2","2","1","2","19","—","9","__",""
"100 YEARS AGO",1972,"1973","Goats Head Soup","Interscope / Polydor","Studio","2","03:58","Jagger/Richards","Jagger",0.601,0.44025,0.6645,0.3894985,0.384,-6.6945,0.03915,114.74925,0.58225,32.25,219579.75,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"2000 LIGHT YEARS FROM HOME",1967,"1967","Their Satanic Majesties Request","ABKCO Records","Studio","9","04:45","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","—","—","__","—","—","5","3","—","—","—","__",""
"2000 MAN",1967,"1967","Their Satanic Majesties Request","ABKCO Records","Studio","4","03:07","Jagger/Richards","Jagger",0.03518,0.439,0.526666666666667,0.0283866666666667,0.431666666666667,-7.00033333333333,0.0454333333333333,122.101333333333,0.465333333333333,24.3333333333333,187835,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"2120 SOUTH MICHIGAN AVENUE",1964,"1964","12 X 5","ABKCO Records","Studio","7","03:39","Nanker Phelge[a]","instrumental",0.0505733333333333,0.604,0.592666666666667,0.842333333333333,0.0949666666666667,-12.1273333333333,0.0322333333333333,145.707666666667,0.794333333333333,15.6666666666667,221577.333333333,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"AFTERMATH",1965,NA,"bootleg recording/outtake","/","/","/","/","Nanker Phelge[a]","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"AIN'T TOO PROUD TO BEG",1973,"1974","It's Only Rock 'n' Roll","Virgin",NA,"2","03:30","Norman Whitfield/Eddie Holland","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","15","23","__","—","17","—","—","11","—","14","__",""
"ALL ABOUT YOU",1979,"1980","Emotional Rescue","Universal","Studio","10","04:17","Jagger/Richards","Richards",0.3165,0.6175,0.333,0.014105,0.147,-11.3695,0.02635,87.0735,0.2125,21.5,258099.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"ALL DOWN THE LINE",1972,"1972","Exile on Main St.","Virgin","Studio","15","03:50","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","77","—","__","—","—","—","—","—","—","—","__",""
"ALL OF YOUR LOVE",2015,"2016","Blue & Lonesome","Interscope / Polydor","Studio","4","04:46","Magic Sam","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
